Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100,Balls Per Innings,Aggavgstr
FJ Hudson-Prentice,22,320,279,18,17.78,114.7,49,25,5,0,0,13.81,132.48
RA Whiteley,47,798,582,37,21.57,137.11,89,62,38,1,0,13.72,158.68
M Deyal,20,357,268,19,18.79,133.21,78,31,18,1,0,13.68,152
R Powell,46,767,580,38,20.18,132.24,67,30,63,2,0,13.67,152.42
RRS Cornwall,26,564,349,25,22.56,161.6,75,60,39,2,0,13.64,184.16
JDS Neesham,63,"1,031",754,47,21.94,136.74,75,80,41,2,0,13.60,158.68
BAC Howell,53,922,601,36,25.61,153.41,53,66,50,3,0,13.48,179.02
RK Patel,24,397,318,23,17.26,124.84,57,36,12,1,0,13.48,142.1
Mohammad Nabi,97,"1,548","1,192",79,19.59,129.87,71,105,74,4,0,13.41,149.46
Nurul Hasan,42,568,460,27,21.04,123.48,39,36,25,0,0,13.39,144.52
AR Nurse,26,314,269,15,20.93,116.73,40,16,19,0,0,13.38,137.66
DJG Sammy,31,462,383,26,17.77,120.63,46,28,25,0,0,13.31,138.4
DT Christian,106,"1,613","1,186",72,22.4,136,73,122,72,4,0,13.30,158.4
NJ Maddinson,39,519,499,36,14.42,104.01,67,41,20,1,0,13.22,118.43
LJ Hill,41,650,513,36,18.06,126.71,59,56,19,3,0,13.21,144.77
L Gregory,61,954,732,50,19.08,130.33,76,76,40,3,0,13.06,149.41
AJ Blake,39,646,470,33,19.58,137.45,66,41,34,3,0,12.93,157.03
WD Parnell,23,351,280,20,17.55,125.36,81,28,15,1,0,12.90,142.91
Imad Wasim,52,697,558,35,19.91,124.91,55,54,25,2,0,12.82,144.82
MW Short,39,655,488,37,17.7,134.22,72,48,29,2,0,12.78,151.92
DMW Rawlins,39,658,457,33,19.94,143.98,69,50,36,3,0,12.57,163.92
WMH Rhodes,33,507,396,30,16.9,128.03,79,42,15,1,0,12.48,144.93
Shahbaz Ahmed,23,300,263,19,15.79,114.07,45,20,11,0,0,12.40,129.86
Asif Ali,63,"1,078",718,52,20.73,150.14,75,61,81,4,0,12.36,170.87
EJ Pollock,30,525,361,29,18.1,145.43,77,55,26,3,0,12.20,163.53
TK Curran,42,596,423,28,21.29,140.9,54,53,18,1,0,12.09,162.19
RE van der Merwe,37,416,289,16,26,143.94,48,32,16,0,0,11.91,169.94
KH Pandya,50,618,510,36,17.17,121.18,42,53,20,0,0,11.79,138.35
TA Lammonby,38,598,403,31,19.29,148.39,90,50,26,1,0,11.56,167.68
BA Raine,39,513,410,32,16.03,125.12,71,30,24,2,0,11.43,141.15
AR Patel,37,445,339,23,19.35,131.27,42,30,22,0,0,11.39,150.62
BA Carse,31,431,309,23,18.74,139.48,51,27,16,1,0,11.35,158.22
SP Narine,92,"1,545","1,013",86,17.97,152.52,64,151,98,7,0,11.32,170.49
DA Douthwaite,32,432,314,24,18,137.58,53,20,33,1,0,11.12,155.58
DJ Bravo,58,665,530,38,17.5,125.47,47,36,38,0,0,11.06,142.97
BWM Mike,31,425,288,21,20.24,147.57,34,34,16,0,0,11.06,167.81
FA Allen,27,372,254,19,19.58,146.46,62,29,22,1,0,10.99,166.04
KS Carlson,26,322,281,25,12.88,114.59,32,27,9,0,0,10.98,127.47
EG Barnard,34,422,335,27,15.63,125.97,43,34,13,0,0,10.87,141.6
LD McManus,34,415,320,25,16.6,129.69,60,22,19,1,0,10.77,146.29
MGK Burgess,28,289,273,23,12.57,105.86,41,23,7,0,0,10.60,118.43
CJ Green,69,768,594,46,16.7,129.29,50,61,19,1,0,10.33,145.99
Shahid Afridi,38,525,348,29,18.1,150.86,81,43,33,2,0,10.29,168.96
JO Holder,51,622,482,42,14.81,129.05,69,39,42,1,0,10.26,143.86
SJ Mullaney,31,412,300,27,15.26,137.33,79,31,18,1,0,10.25,152.59
CR Brathwaite,77,880,696,58,15.17,126.44,64,65,48,3,0,10.22,141.61
I Udana,33,368,286,23,16,128.67,34,21,22,0,0,10.17,144.67
KMA Paul,29,307,262,23,13.35,117.18,39,11,21,0,0,9.98,130.53
SC Kuggeleijn,35,346,263,20,17.3,131.56,41,18,14,0,0,9.77,148.86
JA Thompson,38,518,323,29,17.86,160.37,74,29,36,3,0,9.56,178.23
Faheem Ashraf,37,399,280,25,15.96,142.5,55,36,20,1,0,9.02,158.46
DR Sams,63,693,470,51,13.59,147.45,98,36,49,4,0,8.16,161.04
CH Morris,46,453,327,34,13.32,138.53,42,27,24,0,0,8.11,151.85
Qais Ahmad,43,373,281,32,11.66,132.74,50,26,22,1,0,7.43,144.4
CJ Jordan,52,374,325,37,10.11,115.08,30,29,12,0,0,7.26,125.19
Wahab Riaz,51,396,301,34,11.65,131.56,29,25,23,0,0,7.08,143.21
Rashid Khan,99,864,583,72,12,148.2,40,66,53,0,0,6.77,160.2
